alpha,beta,norm_hs,norm_ps,norm_md,status
0.800000,0.600000,0.371400,0.000000,0.200000,success
0.800000,0.800000,0.371400,0.000000,0.200000,success
0.800000,1.000000,0.371400,0.000000,0.200000,success
0.800000,1.200000,0.371400,0.000000,0.200000,success
0.800000,1.400000,0.371400,0.000000,0.200000,success
0.800000,1.600000,0.371400,0.000000,0.200000,success
0.800000,1.800000,0.371400,0.000000,0.200000,success
0.800000,2.000000,0.371400,0.000000,0.200000,success
1.000000,0.000000,0.228600,0.041700,0.600000,success
1.000000,0.200000,0.228600,0.041700,0.600000,success
1.000000,0.400000,0.371400,0.000000,0.200000,success
1.000000,0.600000,0.371400,0.000000,0.200000,success
1.000000,0.800000,0.371400,0.000000,0.200000,success
1.000000,1.000000,0.371400,0.000000,0.200000,success
1.000000,1.200000,0.371400,0.000000,0.200000,success
1.000000,1.400000,0.371400,0.000000,0.200000,success
1.000000,1.600000,0.371400,0.000000,0.200000,success
1.000000,1.800000,0.371400,0.000000,0.200000,success
1.000000,2.000000,0.371400,0.000000,0.200000,success
1.200000,0.000000,0.228600,0.041700,0.600000,success
1.200000,0.200000,0.371400,0.000000,0.200000,success
1.200000,0.400000,0.371400,0.000000,0.200000,success
1.200000,0.600000,0.371400,0.000000,0.200000,success
1.200000,0.800000,0.371400,0.000000,0.200000,success
1.200000,1.000000,0.371400,0.000000,0.200000,success
1.200000,1.200000,0.371400,0.000000,0.200000,success
1.200000,1.400000,0.371400,0.000000,0.200000,success
1.200000,1.600000,0.371400,0.000000,0.200000,success
1.200000,1.800000,0.371400,0.000000,0.200000,success
1.200000,2.000000,0.371400,0.000000,0.200000,success
1.400000,0.000000,0.228600,0.041700,0.600000,success
1.400000,0.200000,0.371400,0.000000,0.200000,success
1.400000,0.400000,0.371400,0.000000,0.200000,success
1.400000,0.600000,0.371400,0.000000,0.200000,success
1.400000,0.800000,0.371400,0.000000,0.200000,success
1.400000,1.000000,0.371400,0.000000,0.200000,success
1.400000,1.200000,0.371400,0.000000,0.200000,success
1.400000,1.400000,0.371400,0.000000,0.200000,success
1.400000,1.600000,0.371400,0.000000,0.200000,success
1.400000,1.800000,0.371400,0.000000,0.200000,success
1.400000,2.000000,0.371400,0.000000,0.200000,success
1.600000,0.000000,0.228600,0.041700,0.600000,success
1.600000,0.200000,0.371400,0.000000,0.200000,success
1.600000,0.400000,0.371400,0.000000,0.200000,success
1.600000,0.600000,0.371400,0.000000,0.200000,success
1.600000,0.800000,0.371400,0.000000,0.200000,success
1.600000,1.000000,0.371400,0.000000,0.200000,success
1.600000,1.200000,0.371400,0.000000,0.200000,success
1.600000,1.400000,0.371400,0.000000,0.200000,success
1.600000,1.600000,0.371400,0.000000,0.200000,success
1.600000,1.800000,0.371400,0.000000,0.200000,success
1.600000,2.000000,0.371400,0.000000,0.200000,success
1.800000,0.000000,0.371400,0.000000,0.200000,success
1.800000,0.200000,0.371400,0.000000,0.200000,success
1.800000,0.400000,0.371400,0.000000,0.200000,success
1.800000,0.600000,0.371400,0.000000,0.200000,success
1.800000,0.800000,0.371400,0.000000,0.200000,success
1.800000,1.000000,0.371400,0.000000,0.200000,success
1.800000,1.200000,0.371400,0.000000,0.200000,success
1.800000,1.400000,0.371400,0.000000,0.200000,success
1.800000,1.600000,0.371400,0.000000,0.200000,success
1.800000,1.800000,0.371400,0.000000,0.200000,success
1.800000,2.000000,0.371400,0.000000,0.200000,success
2.000000,0.000000,0.371400,0.000000,0.200000,success
2.000000,0.200000,0.371400,0.000000,0.200000,success
2.000000,0.400000,0.371400,0.000000,0.200000,success
2.000000,0.600000,0.371400,0.000000,0.200000,success
2.000000,0.800000,0.371400,0.000000,0.200000,success
2.000000,1.000000,0.371400,0.000000,0.200000,success
2.000000,1.200000,0.371400,0.000000,0.200000,success
2.000000,1.400000,0.371400,0.000000,0.200000,success
2.000000,1.600000,0.371400,0.000000,0.200000,success
2.000000,1.800000,0.371400,0.000000,0.200000,success
2.000000,2.000000,0.371400,0.000000,0.200000,success
